web_scraper_order,web_scraper_start_url,prix,region,titre_vehicule,kilometrage,car_link,car_link-href,boite_vitesse,annee
"1785857519-1","https://www.gaaraas.com/fr/users/dakar-auto?page=100","","","","","","","",""
"1785857519-2","https://www.gaaraas.com/fr/users/dakar-auto?page=100","","","Il n'y a pas d'annonce","","","","",""
"1785857519-3","https://www.gaaraas.com/fr/users/dakar-auto?page=100","","","Souscrire à notre newsletter","","","","",""
"1785857519-4","https://www.gaaraas.com/fr/users/dakar-auto?page=100","","","","","","","",""
"1785857524-5","https://www.gaaraas.com/fr/users/dakar-auto?page=100","","","","","","https://www.facebook.com/gaaraassenegal/?fref=ts","",""
"1785857528-6","https://www.gaaraas.com/fr/users/dakar-auto?page=100","","","","","Notre histoire","https://www.gaaraas.com/fr/p/about-us","",""
"1785857533-7","https://www.gaaraas.com/fr/users/dakar-auto?page=99","","","","","","","",""
"1785857533-8","https://www.gaaraas.com/fr/users/dakar-auto?page=99","","","Il n'y a pas d'annonce","","","","",""
"1785857533-9","https://www.gaaraas.com/fr/users/dakar-auto?page=99","","","Souscrire à notre newsletter","","","","",""
"1785857533-10","https://www.gaaraas.com/fr/users/dakar-auto?page=99","","","","","","","",""
"1785857537-11","https://www.gaaraas.com/fr/users/dakar-auto?page=98","","","","","","","",""
"1785857537-12","https://www.gaaraas.com/fr/users/dakar-auto?page=98","","","Il n'y a pas d'annonce","","","","",""
"1785857537-13","https://www.gaaraas.com/fr/users/dakar-auto?page=98","","","Souscrire à notre newsletter","","","","",""
"1785857537-14","https://www.gaaraas.com/fr/users/dakar-auto?page=98","","","","","","","",""
"1785857541-15","https://www.gaaraas.com/fr/users/dakar-auto?page=97","","","","","","","",""
"1785857541-16","https://www.gaaraas.com/fr/users/dakar-auto?page=97","","","Il n'y a pas d'annonce","","","","",""
"1785857541-17","https://www.gaaraas.com/fr/users/dakar-auto?page=97","","","Souscrire à notre newsletter","","","","",""
"1785857541-18","https://www.gaaraas.com/fr/users/dakar-auto?page=97","","","","","","","",""
"1785857546-19","https://www.gaaraas.com/fr/users/dakar-auto?page=96","","","","","","","",""
